index,CITY,STATE,HDI,GINI,Longetivity,Education
2301,Itacuruba,0,0.595,0.567,0.712,0.523
2316,Itaíba,0,0.51,0.531,0.688,0.364
2341,Itambé,0,0.575,0.566,0.727,0.463
2370,Itapetim,0,0.59,0.598,0.704,0.494
2384,Itapissuma,0,0.633,0.589,0.764,0.564
2404,Itaquitinga,0,0.586,0.554,0.715,0.509
2461,Jaboatão Dos Guararapes,0,0.72,0.692,0.83,0.642
2531,Jaqueira,0,0.575,0.557,0.751,0.454
2552,Jataúba,0,0.53,0.549,0.712,0.381
2555,Jatobá,0,0.645,0.604,0.775,0.573
2587,João Alfredo,0,0.58,0.569,0.72,0.466
2600,Joaquim Nabuco,0,0.55,0.561,0.676,0.449
2627,Jucati,0,0.55,0.541,0.681,0.451
2644,Jupi,0,0.575,0.56,0.698,0.487
2650,Jurema,0,0.509,0.522,0.681,0.372
2688,Lagoa De Itaenga,0,0.602,0.555,0.774,0.509
2693,Lagoa Do Carro,0,0.609,0.566,0.789,0.505
2695,Lagoa Do Ouro,0,0.525,0.536,0.733,0.369
2699,Lagoa Dos Gatos,0,0.551,0.555,0.725,0.416
2705,Lagoa Grande,0,0.597,0.581,0.705,0.52
2729,Lajedo,0,0.611,0.599,0.758,0.503
2777,Limoeiro,0,0.66,0.628,0.797,0.583
2833,Macaparana,0,0.609,0.571,0.778,0.508
2845,Machados,0,0.578,0.541,0.767,0.466
2885,Manari,0,0.487,0.477,0.682,0.354
2923,Maraial,0,0.534,0.541,0.698,0.403
3088,Mirandiba,0,0.591,0.512,0.769,0.525
3174,Moreilândia,0,0.6,0.522,0.768,0.54
3176,Moreno,0,0.652,0.61,0.805,0.564
3251,Nazaré Da Mata,0,0.662,0.608,0.789,0.604
3446,Olinda,0,0.735,0.704,0.836,0.675
3465,Orobó,0,0.61,0.545,0.787,0.528
3466,Orocó,0,0.61,0.536,0.766,0.553
3476,Ouricuri,0,0.57,0.578,0.773,0.419
3528,Palmares,0,0.622,0.588,0.744,0.55
3546,Palmeirina,0,0.55,0.554,0.681,0.438
3559,Panelas,0,0.569,0.546,0.778,0.433
3598,Paranatama,0,0.537,0.528,0.703,0.418
3624,Parnamirim,0,0.599,0.556,0.776,0.499
3637,Passira,0,0.59,0.559,0.763,0.487
3661,Paudalho,0,0.639,0.612,0.782,0.545
3668,Paulista,0,0.732,0.673,0.83,0.703
3687,Pedra,0,0.57,0.55,0.743,0.445
3761,Pesqueira,0,0.61,0.597,0.751,0.506
3762,Petrolândia,0,0.623,0.604,0.755,0.531
3764,Petrolina,0,0.7,0.695,0.799,0.611
3887,Poção,0,0.528,0.542,0.677,0.402
3905,Pombos,0,0.598,0.584,0.79,0.463
4039,Primavera,0,0.58,0.572,0.767,0.444
4085,Quipapá,0,0.552,0.53,0.743,0.427
4090,Quixaba,0,0.58,0.53,0.752,0.482
4111,Recife,0,0.772,0.798,0.825,0.698
4149,Riacho Das Almas,0,0.57,0.586,0.757,0.418
4166,Ribeirão,0,0.602,0.595,0.711,0.516
4221,Rio Formoso,0,0.613,0.562,0.809,0.506
4304,Sairé,0,0.585,0.581,0.784,0.44
4310,Salgadinho,0,0.534,0.516,0.73,0.405
4315,Salgueiro,0,0.669,0.645,0.799,0.58
4321,Saloá,0,0.56,0.559,0.744,0.421
4344,Sanharó,0,0.603,0.564,0.758,0.514
4368,Santa Cruz,0,0.55,0.522,0.722,0.438
4371,Santa Cruz Da Baixa Verde,0,0.612,0.557,0.786,0.523
4381,Santa Cruz Do Capibaribe,0,0.648,0.667,0.806,0.506
4396,Santa Filomena,0,0.53,0.496,0.752,0.406
4433,Santa Maria Da Boa Vista,0,0.59,0.564,0.773,0.472
4439,Santa Maria Do Cambucá,0,0.55,0.571,0.735,0.393
4488,Santa Terezinha,0,0.593,0.54,0.737,0.524
4586,São Benedito Do Sul,0,0.53,0.499,0.736,0.406
4596,São Bento Do Una,0,0.593,0.593,0.789,0.446
4608,São Caitano,0,0.591,0.583,0.756,0.469
4685,São João,0,0.57,0.565,0.768,0.426
4739,São Joaquim Do Monte,0,0.537,0.549,0.741,0.381
4748,São José Da Coroa Grande,0,0.608,0.585,0.736,0.522
4767,São José Do Belmonte,0,0.61,0.569,0.769,0.52
4776,São José Do Egito,0,0.635,0.602,0.769,0.554
4807,São Lourenço Da Mata,0,0.653,0.614,0.793,0.571
4928,São Vicente Férrer,0,0.55,0.558,0.715,0.414
5016,Serra Talhada,0,0.66,0.632,0.8,0.571
5028,Serrita,0,0.595,0.542,0.76,0.512
